pwndbg> vmmap
LEGEND: STACK | HEAP | CODE | DATA | WX | RODATA
             Start                End Perm     Size Offset File
    0x7fffd8ffb000     0x7fffd97fb000 rw-p   800000      0 [anon_7fffd8ffb]
    0x7fffd97fb000     0x7fffd97fc000 ---p     1000      0 [anon_7fffd97fb]
    0x7fffd97fc000     0x7fffd9ffc000 rw-p   800000      0 [anon_7fffd97fc]
    0x7fffd9ffc000     0x7fffd9ffd000 ---p     1000      0 [anon_7fffd9ffc]
    0x7fffd9ffd000     0x7fffda7fd000 rw-p   800000      0 [anon_7fffd9ffd]
    0x7fffda7fd000     0x7fffda7fe000 ---p     1000      0 [anon_7fffda7fd]
    0x7fffda7fe000     0x7fffdaffe000 rw-p   800000      0 [anon_7fffda7fe]
    0x7fffdaffe000     0x7fffdafff000 ---p     1000      0 [anon_7fffdaffe]
    0x7fffdafff000     0x7fffdb7ff000 rw-p   800000      0 [anon_7fffdafff]
    0x7fffdb7ff000     0x7fffdb800000 ---p     1000      0 [anon_7fffdb7ff]
    0x7fffdb800000     0x7fffdc000000 rw-p   800000      0 [anon_7fffdb800]
    0x7fffdc000000     0x7fffdc021000 rw-p    21000      0 [anon_7fffdc000]
    0x7fffdc021000     0x7fffe0000000 ---p  3fdf000      0 [anon_7fffdc021]
    0x7fffe0000000     0x7fffe0021000 rw-p    21000      0 [anon_7fffe0000]
    0x7fffe0021000     0x7fffe4000000 ---p  3fdf000      0 [anon_7fffe0021]
    0x7fffe47f9000     0x7fffe47fa000 ---p     1000      0 [anon_7fffe47f9]
    0x7fffe47fa000     0x7fffe4ffa000 rw-p   800000      0 [anon_7fffe47fa]
    0x7fffe4ffa000     0x7fffe4ffb000 ---p     1000      0 [anon_7fffe4ffa]
    0x7fffe4ffb000     0x7fffe57fb000 rw-p   800000      0 [anon_7fffe4ffb]
    0x7fffe57fb000     0x7fffe57fc000 ---p     1000      0 [anon_7fffe57fb]
    0x7fffe57fc000     0x7fffe5ffc000 rw-p   800000      0 [anon_7fffe57fc]
    0x7fffe5ffc000     0x7fffe5ffd000 ---p     1000      0 [anon_7fffe5ffc]
    0x7fffe5ffd000     0x7fffe67fd000 rw-p   800000      0 [anon_7fffe5ffd]
    0x7fffe67fd000     0x7fffe67fe000 ---p     1000      0 [anon_7fffe67fd]
    0x7fffe67fe000     0x7fffe6ffe000 rw-p   800000      0 [anon_7fffe67fe]
    0x7fffe6ffe000     0x7fffe6fff000 ---p     1000      0 [anon_7fffe6ffe]
    0x7fffe6fff000     0x7fffe77ff000 rw-p   800000      0 [anon_7fffe6fff]
    0x7fffe77ff000     0x7fffe7800000 ---p     1000      0 [anon_7fffe77ff]
    0x7fffe7800000     0x7fffe8000000 rw-p   800000      0 [anon_7fffe7800]
    0x7fffe8000000     0x7fffe8021000 rw-p    21000      0 [anon_7fffe8000]
    0x7fffe8021000     0x7fffec000000 ---p  3fdf000      0 [anon_7fffe8021]
    0x7fffec000000     0x7fffec021000 rw-p    21000      0 [anon_7fffec000]
    0x7fffec021000     0x7ffff0000000 ---p  3fdf000      0 [anon_7fffec021]
    0x7ffff0000000     0x7ffff0021000 rw-p    21000      0 [anon_7ffff0000]
    0x7ffff0021000     0x7ffff4000000 ---p  3fdf000      0 [anon_7ffff0021]
    0x7ffff41ec000     0x7ffff4239000 rw-p    4d000      0 [anon_7ffff41ec]
    0x7ffff4239000     0x7ffff423a000 ---p     1000      0 [anon_7ffff4239]
    0x7ffff423a000     0x7ffff4a3a000 rw-p   800000      0 [anon_7ffff423a]
    0x7ffff4a3a000     0x7ffff4a3b000 ---p     1000      0 [anon_7ffff4a3a]
    0x7ffff4a3b000     0x7ffff523b000 rw-p   800000      0 [anon_7ffff4a3b]
    0x7ffff523b000     0x7ffff523c000 ---p     1000      0 [anon_7ffff523b]
    0x7ffff523c000     0x7ffff5a3c000 rw-p   800000      0 [anon_7ffff523c]
    0x7ffff5a3c000     0x7ffff5a3d000 ---p     1000      0 [anon_7ffff5a3c]
    0x7ffff5a3d000     0x7ffff623d000 rw-p   800000      0 [anon_7ffff5a3d]
    0x7ffff623d000     0x7ffff623e000 ---p     1000      0 [anon_7ffff623d]
    0x7ffff623e000     0x7ffff6a3e000 rw-p   800000      0 [anon_7ffff623e]
    0x7ffff6a3e000     0x7ffff6a3f000 ---p     1000      0 [anon_7ffff6a3e]
    0x7ffff6a3f000     0x7ffff7c3d000 rw-p  11fe000      0 [anon_7ffff6a3f]
    0x7ffff7c3d000     0x7ffff7c5f000 r--p    22000      0 /usr/lib/x86_64-linux-gnu/libc-2.31.so
    0x7ffff7c5f000     0x7ffff7dd7000 r-xp   178000  22000 /usr/lib/x86_64-linux-gnu/libc-2.31.so
    0x7ffff7dd7000     0x7ffff7e25000 r--p    4e000 19a000 /usr/lib/x86_64-linux-gnu/libc-2.31.so
    0x7ffff7e25000     0x7ffff7e29000 r--p     4000 1e7000 /usr/lib/x86_64-linux-gnu/libc-2.31.so
    0x7ffff7e29000     0x7ffff7e2b000 rw-p     2000 1eb000 /usr/lib/x86_64-linux-gnu/libc-2.31.so
    0x7ffff7e2b000     0x7ffff7e2f000 rw-p     4000      0 [anon_7ffff7e2b]
    0x7ffff7e2f000     0x7ffff7e32000 r--p     3000      0 /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
    0x7ffff7e32000     0x7ffff7e44000 r-xp    12000   3000 /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
    0x7ffff7e44000     0x7ffff7e48000 r--p     4000  15000 /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
    0x7ffff7e48000     0x7ffff7e49000 r--p     1000  18000 /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
    0x7ffff7e49000     0x7ffff7e4a000 rw-p     1000  19000 /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
    0x7ffff7e4a000     0x7ffff7e57000 r--p     d000      0 /usr/lib/x86_64-linux-gnu/libm-2.31.so
    0x7ffff7e57000     0x7ffff7efe000 r-xp    a7000   d000 /usr/lib/x86_64-linux-gnu/libm-2.31.so
    0x7ffff7efe000     0x7ffff7f97000 r--p    99000  b4000 /usr/lib/x86_64-linux-gnu/libm-2.31.so
    0x7ffff7f97000     0x7ffff7f98000 r--p     1000 14c000 /usr/lib/x86_64-linux-gnu/libm-2.31.so
    0x7ffff7f98000     0x7ffff7f99000 rw-p     1000 14d000 /usr/lib/x86_64-linux-gnu/libm-2.31.so
    0x7ffff7f99000     0x7ffff7f9f000 r--p     6000      0 /usr/lib/x86_64-linux-gnu/libpthread-2.31.so
    0x7ffff7f9f000     0x7ffff7fb0000 r-xp    11000   6000 /usr/lib/x86_64-linux-gnu/libpthread-2.31.so
    0x7ffff7fb0000     0x7ffff7fb6000 r--p     6000  17000 /usr/lib/x86_64-linux-gnu/libpthread-2.31.so
    0x7ffff7fb6000     0x7ffff7fb7000 r--p     1000  1c000 /usr/lib/x86_64-linux-gnu/libpthread-2.31.so
    0x7ffff7fb7000     0x7ffff7fb8000 rw-p     1000  1d000 /usr/lib/x86_64-linux-gnu/libpthread-2.31.so
    0x7ffff7fb8000     0x7ffff7fbe000 rw-p     6000      0 [anon_7ffff7fb8]
    0x7ffff7fc9000     0x7ffff7fcb000 rw-p     2000      0 [anon_7ffff7fc9]
    0x7ffff7fcb000     0x7ffff7fce000 r--p     3000      0 [vvar]
    0x7ffff7fce000     0x7ffff7fcf000 r-xp     1000      0 [vdso]
    0x7ffff7fcf000     0x7ffff7fd0000 r--p     1000      0 /usr/lib/x86_64-linux-gnu/ld-2.31.so
    0x7ffff7fd0000     0x7ffff7ff3000 r-xp    23000   1000 /usr/lib/x86_64-linux-gnu/ld-2.31.so
    0x7ffff7ff3000     0x7ffff7ffb000 r--p     8000  24000 /usr/lib/x86_64-linux-gnu/ld-2.31.so
    0x7ffff7ffc000     0x7ffff7ffd000 r--p     1000  2c000 /usr/lib/x86_64-linux-gnu/ld-2.31.so
    0x7ffff7ffd000     0x7ffff7ffe000 rw-p     1000  2d000 /usr/lib/x86_64-linux-gnu/ld-2.31.so
    0x7ffff7ffe000     0x7ffff7fff000 rw-p     1000      0 [anon_7ffff7ffe]
    0x7ffffffde000     0x7ffffffff000 rw-p    21000      0 [stack]
0xffffffffff600000 0xffffffffff601000 --xp     1000      0 [vsyscall]
